""	"p_value"	"R_squared"
"ADY5112CS15"	0	0.946121601752394
"ADY5112CS17"	0	0.955612563633947
"ADY5112CS26"	0	0.940357354273794
"ADY5130CS1"	0	0.923458311834523
"ADY5130CS23"	0	0.936312733559238
"ADY5130CS27"	0	0.942250205532945
"ADY5139CS13"	0	0.923213104327121
"ADY5139CS14"	0	0.935629845443663
"ADY5139CS5"	0	0.926297895145049
"CENPK112CS11"	0	0.952014667133265
"CENPK112CS12"	0	0.941533570690051
"CENPK112CS25"	0	0.95089182543253
"CENPK130CS24"	0	0.918961794385448
"CENPK130CS6"	0	0.927587625150565
"CENPK130CS7"	0	0.921710521242045
"CENPK139CS16"	0	0.914122648050101
"CENPK139CS19"	0	0.909025739358391
"CENPK139CS2"	0	0.916136339602835
"ETHANOLRED112CS18"	0	0.951120164743384
"ETHANOLRED112CS20"	0	0.950013217127911
"ETHANOLRED112CS8"	0	0.950507789656071
"ETHANOLRED130CS10"	0	0.941321059075359
"ETHANOLRED130CS3"	0	0.946979421193975
"ETHANOLRED130CS4"	0	0.938399897128622
"ETHANOLRED139CS21"	0	0.915599570591004
"ETHANOLRED139CS22"	0	0.923348307657576
"ETHANOLRED139CS9"	0	0.925663242944331
