Name	Strain	Temperature
ADY5-1-12C_S15	ADY5	12C
ADY5-1-12C_S17	ADY5	12C
ADY5-1-12C_S26	ADY5	12C
ADY5-1-30C_S1	ADY5	30C
ADY5-1-30C_S23	ADY5	30C
ADY5-1-30C_S27	ADY5	30C
ADY5-1-39C_S13	ADY5	39C
ADY5-1-39C_S14	ADY5	39C
ADY5-1-39C_S5	ADY5	39C
CENPK-1-12C_S11	CENPK	12C
CENPK-1-12C_S12	CENPK	12C
CENPK-1-12C_S25	CENPK	12C
CENPK-1-30C_S24	CENPK	30C
CENPK-1-30C_S6	CENPK	30C
CENPK-1-30C_S7	CENPK	30C
CENPK-1-39C_S16	CENPK	39C
CENPK-1-39C_S19	CENPK	39C
CENPK-1-39C_S2	CENPK	39C
ETHANOL-RED-1-12C_S18	ETHANOLRED	12C
ETHANOL-RED-1-12C_S20	ETHANOLRED	12C
ETHANOL-RED-1-12C_S8	ETHANOLRED	12C
ETHANOL-RED-1-30C_S10	ETHANOLRED	30C
ETHANOL-RED-1-30C_S3	ETHANOLRED	30C
ETHANOL-RED-1-30C_S4	ETHANOLRED	30C
ETHANOL-RED-1-39C_S21	ETHANOLRED	39C
ETHANOL-RED-1-39C_S22	ETHANOLRED	39C
ETHANOL-RED-1-39C_S9	ETHANOLRED	39C
